CODE,WINDOWS,WINDOWS,ITEM,UNIT,QTY,RATE,TOTAL
,OMEGA,OMEGA,OMEGA PACK - 600MM ELECTRIC COOKTOP PACK - OVEN / ELECTRIC COOKTOP / SLIDEOUT RANGEHOOD / DISHWASHER,PACK,,2496,2496
,OMEGA,OMEGA,- OMEGA 60CM 4 FUNCTION OVEN OBO660X,EACH,,599,599
,OMEGA,OMEGA,- OMEGA 60CM 4 BURNER GAS COOKTOP OCG604X,EACH,,399,399
,OMEGA,OMEGA,- OMEGA 60CM SLIDE OUT RANGEHOOD ORT6WBA,EACH,,299,299
,OMEGA,OMEGA,- OMEGA 60CM FREESTANDING DISHWASHER ODW702XB,EACH,,699,699
,OMEGA,OMEGA,OMEGA PACK - 600MM GAS COOKTOP PACK - OVEN / GAS COOKTOP / SLIDEOUT RANGEHOOD / DISHWASHER,PACK,,1996,1996
,OMEGA,OMEGA,OMEGA 600MM CANOPY RANGEHOOD OPTION - OMEGA 60CM CANOPY RANGEHOOD ORC60X,EACH,,399,399
,OMEGA,OMEGA,OMEGA 600MM UNDER CUPBOARD RANGEHOOD OPTION - OMEGA 60CM UNDER CUPBOARD RANGEHOOD ORF60X,EACH,,249,249
,OMEGA,OMEGA,- OMEGA 90CM 9 FUNCTION OVEN OBO960X1,EACH,,1199,1199
,OMEGA,OMEGA,- OMEGA 90CM INDUCTION COOKTOP OI90Z,EACH,,1399,1399
,OMEGA,OMEGA,- OMEGA 90CM SLIDE OUT RANGEHOOD ORT9WXA,EACH,,399,399
,OMEGA,OMEGA,- OMEGA 60CM FREESTANDING DISHWASHER ODW702XB,EACH,,699,699
,OMEGA,OMEGA,OMEGA PACK - 900MM BUILT-IN ELECTRIC COOKTOP PACK - 900 OVEN / ELECTRIC COOKTOP / 900 SLIDEOUT RANGEHOOD / DISHWASHER,PACK,,3696,3696
,OMEGA,OMEGA,- OMEGA 60CM FREESTANDING DISHWASHER ODW702XB,EACH,,699,699
